warmups	4
runs	15
profile	release
case	kind	status	median_ms	min_ms	max_ms	reason
compile_small_parse	lib	measured	0.017	0.014	0.019	
compile_small_resolve	lib	measured	0.221	0.211	0.334	
compile_small_sema	lib	measured	0.048	0.040	0.681	
compile_small_codegen	lib	measured	0.053	0.052	0.105	
compile_medium_resolve	lib	measured	0.943	0.780	2.588	
compile_medium_sema	lib	measured	0.184	0.168	1.650	
compile_medium_codegen	lib	measured	0.223	0.206	0.574	
runtime_loop_heavy	lib	measured	152.686	131.638	211.517	
runtime_arith_heavy	lib	measured	815.353	511.389	3139.926	
runtime_arith_local_const	lib	measured	526.663	455.059	1313.026	
runtime_arith_local_local	lib	measured	474.297	363.804	601.881	
runtime_arith_chain	lib	measured	411.261	351.093	472.906	
runtime_call_heavy	lib	measured	33.628	30.417	43.675	
runtime_array_heavy	lib	measured	100.493	79.823	118.647	
runtime_struct_heavy	lib	measured	67.704	54.202	132.954	
runtime_struct_field_heavy	lib	measured	123.050	110.748	167.394	
runtime_struct_method_complex	lib	measured	55.296	45.214	71.447	
runtime_string_heavy	lib	measured	172.912	138.077	313.993	
cli_small_check	cli	measured	9.351	7.877	10.241	
cli_small_run	cli	measured	15.432	8.733	35.681	
cli_medium_check	cli	measured	9.572	8.558	11.565	
cli_medium_run	cli	measured	28.092	24.909	30.665	
